Time(s),BoundaryDensity
2.154,0.0008327214217595664
3.154,0.0010338652435215047
4.154,0.0012929026664843513
5.154,0.001649484986673262
6.154,0.0020705126741781942
7.154,0.0024302970171339797
8.154,0.00257448150248553
9.154,0.002423742174527034
10.154,0.00202771199233798
11.154,0.001527945312590997
12.154,0.0010747017026863633
13.154,0.0007691602036738538
14.154,0.0006576365281363309
15.154,0.0007552748192833686
16.154,0.0010681966886574139
17.154,0.0015981559166951033
18.154,0.0023271054316504024
19.154,0.0031915868661148176
20.154,0.004070280268734863
21.154,0.004806530162890325
22.154,0.005261847546646977
23.154,0.005367833011709355
24.154,0.005145892927573199
25.154,0.0046956112215748285
26.154,0.004171391041811747
27.154,0.003749355305196399
28.154,0.0035708541713402758
29.154,0.0036758048113839283
30.154,0.003976192530892928
31.154,0.004306440259543262
32.153999999999996,0.004527065406413798
33.153999999999996,0.004612277745238348
34.153999999999996,0.004660005595204141
35.153999999999996,0.004813112484651121
36.153999999999996,0.005140350162947489
37.153999999999996,0.005560325208043789
38.153999999999996,0.005871253550742677
39.153999999999996,0.005872623665586925
40.153999999999996,0.005487686997289465
41.153999999999996,0.004795211670034492
42.153999999999996,0.003963057221620892
43.153999999999996,0.0031570364866072647
44.153999999999996,0.0024931427207003937
45.153999999999996,0.0020331088098979894
46.153999999999996,0.001785094039979827
47.153999999999996,0.0017003817034239744
48.153999999999996,0.0016937196988129016
49.153999999999996,0.0016957307136120487
50.153999999999996,0.0016963075192557165
51.153999999999996,0.0017344519654988021
52.153999999999996,0.001846987291223979
53.153999999999996,0.0020349820452436485
54.153999999999996,0.0022833557385999984
55.153999999999996,0.002605588513175958
56.153999999999996,0.0030551170058446256
57.153999999999996,0.00367531429347203
58.153999999999996,0.004418918138496924
59.153999999999996,0.005109108720135961
60.153999999999996,0.005500916211889832
61.153999999999996,0.005423742881291036
62.153999999999996,0.004901144267263857
63.153999999999996,0.004147821199875007
64.154,0.0034472973567733324
65.154,0.003007633426457296
66.154,0.0028848198589737496
67.154,0.002992454840582198
68.154,0.003169510698971942
69.154,0.0032683933061639528
70.154,0.003219692540368455
71.154,0.003037126797885385
72.154,0.002770778459330941
73.154,0.002462947411474852
74.154,0.0021492768600534446
75.154,0.0018886760034136246
76.154,0.001769523744649083
77.154,0.0018649768701781708
78.154,0.002167081958774381
79.154,0.002562912378079041
80.154,0.002892426893441545
81.154,0.0030580309188127926
82.154,0.003099283828767504
83.154,0.003165375820423517
84.154,0.003403612990680448
85.154,0.003850658306672433
86.154,0.004401995425727739
87.154,0.004869415548162122
88.154,0.005081691921775255
89.154,0.00496888840021385
90.154,0.004586716669259738
91.154,0.004071950979076121
92.154,0.0035602753978321512
93.154,0.003120514931679761
94.154,0.0027447060438562302
95.154,0.002389606881880676
96.154,0.002027654286027719
97.154,0.0016671902468928745
98.154,0.00133731129021995
99.154,0.0010632029230791238
100.154,0.000856556700496345
101.154,0.000722246930742493
102.154,0.0006643455753105031
103.154,0.000679205460807505
104.154,0.0007443002552212656
105.154,0.0008232938476571023
106.154,0.0008926295916994195
107.154,0.0009681887289100494
108.154,0.0011059986015511134
109.154,0.0013767565025819203
110.154,0.0018400708182567459
111.154,0.002539544678817843
112.154,0.0035076966242038247
113.154,0.004745733611440689
114.154,0.006163707372501303
115.154,0.007526960003697063
116.154,0.008490503592070644
117.154,0.00874858137247264
118.154,0.008213946901516849
119.154,0.007090203064766925
120.154,0.005776154385219921
121.154,0.004668933058731333
122.154,0.003992862140249417
123.154,0.0037410899347672774
124.154,0.0037338745996716143
125.154,0.0037365450941695363
126.154,0.003569819395130473
127.154,0.0031729140043545516
128.154,0.0026098790138241387
129.154,0.0020234648506869497
130.154,0.0015548681176099676
131.154,0.0012700892802106
132.154,0.0011371126372133012
133.154,0.0010642478922007724
134.154,0.0009664662460786981
135.154,0.0008130446044064246
136.154,0.000631616126569387
137.154,0.000476248165600263
138.154,0.0003867053030193919
139.154,0.0003652966590769166
140.154,0.0003827628832097437
141.154,0.0004058355394905986
142.154,0.00042543867168803927
143.154,0.00046409665871020693
144.154,0.0005573199975216014
145.154,0.0007262024160616255
146.154,0.0009667166295529401
147.154,0.0012651286424964466
148.154,0.0016223558323672103
149.154,0.0020587819115852534
150.154,0.002587348245973486
151.154,0.0031735974504360377
152.154,0.0037201644233717792
